id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
0mNzElhEofvgMWAJoOA4q9,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,195.1229,-3.855,119.05,4.0,11.0,0.582,0.909,0.868,False
73zawW1ttszLRgT9By826D,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,191.23106,-5.005,148.006,4.0,4.0,0.501,0.769,0.451,False
77DRzu7ERs0TX3roZcre7Q,Euphoria,Kendrick Lamar,16,2024,383.63904,-5.002,139.948,4.0,1.0,0.831,0.643,0.142,True
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,16,2024,201.8,-7.231,143.008,4.0,5.0,0.559,0.551,0.392,True
09hVlIVHtEE1nLUv6YGZiW,Burn It Down,Parker McCollum,16,2024,233.86938,-5.627,162.187,4.0,2.0,0.461,0.718,0.334,False
3WSOUb3U7tqURbBSgZTrZX,Casual,Chappell Roan,16,2024,232.79619,-6.95,131.008,4.0,1.0,0.508,0.411,0.34,True
5b3XJ1pjrHO5JtY2PcTjnI,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,156.98834,-4.968,81.036,4.0,1.0,0.892,0.531,0.209,True
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,52,2023,201.8,-7.231,143.008,4.0,5.0,0.559,0.551,0.392,True
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,48,2023,153.94667,-5.747,88.98,4.0,8.0,0.644,0.735,0.418,False
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,47,2023,163.85497,-5.431,203.812,4.0,6.0,0.492,0.673,0.488,True
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,45,2023,200.6,-4.775,118.048,4.0,0.0,0.706,0.691,0.632,False
2dHHgzDwk4BJdRwy9uXhTO,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023,221.52,-6.018,97.914,4.0,1.0,0.716,0.613,0.157,True
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,44,2023,200.69016,-6.645,96.888,4.0,4.0,0.633,0.648,0.49,False
03fs6oV5JAlbytRYf3371S,Everything I Love,Morgan Wallen,42,2023,187.04721,-3.933,103.982,4.0,8.0,0.567,0.841,0.712,False
0PAcdVzhPO4gq1Iym9ESnK,Thinkin' Bout Me,Morgan Wallen,42,2023,177.38766,-5.723,139.982,4.0,3.0,0.659,0.789,0.468,False
