index,rank,title,artist,count,year,id,duration,loudness,tempo,time_signature,key
163,63,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023,42TtHTxWk782ZBiqyOi2d1,290.89224,-7.658,122.811,4.0,0.0
164,64,PRC,Peso Pluma X Natanael Cano,20,2023,2mpoNBkngUEwnaKoBhZ0vl,184.06648,-6.34,138.078,3.0,7.0
165,65,Paint The Town Red,Doja Cat,20,2023,2IGMVunIBsBLtEQyoI1Mu7,231.75002,-8.603,99.968,4.0,5.0
166,66,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023,7fveJ3pk1eSfxBdVkzdXZ0,181.6211,-3.777,172.037,4.0,8.0
167,67,Por Las Noches,Peso Pluma,20,2023,6YWME4xCa5Lm6X1exVMQIC,238.88799,-7.494,185.084,3.0,9.0
168,68,Princess Diana,Ice Spice & Nicki Minaj,20,2023,0ZxhtATQ0a6EvQNZ0z6NKV,172.12526,-5.092,147.964,4.0,9.0
169,69,Chemical,Post Malone,20,2023,5w40ZYhbBMAlHYNDaVJIUu,184.01334,-4.856,169.949,4.0,2.0
170,70,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023,4iJyoBOLtHqaGxP12qzhQI,198.08163,-6.181,90.03,4.0,0.0
171,71,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023,7KA4W4McWYRpgf0fWsJZWB,180.38667,-9.222,78.558,4.0,6.0
172,72,TQG,Karol G x Shakira,20,2023,0DWdj2oZMBFSzRsi2Cvfzf,197.93333,-3.385,90.123,4.0,4.0
173,73,Try That In A Small Town,Jason Aldean,20,2023,5BqI4ugJL5WaPRQ6MlC8Ho,181.6,-3.771,145.989,4.0,0.0
174,74,Un x100to,Grupo Frontera X Bad Bunny,20,2023,2yzshFeBIwH8tWIqHEFLeD,194.56326,-4.089,83.827,4.0,9.0
175,75,Handle On You,Parker McCollum,20,2023,4reXo2zg1uhEIpUAacDb9C,219.9678,-3.925,105.025,4.0,6.0
176,76,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023,0FxtC8uFapbpDBliAU3sd6,174.9426,-6.657,136.175,3.0,11.0
177,77,Where She Goes,Bad Bunny,20,2023,7ro0hRteUMfnOioTFI5TG1,231.70448,-4.019,143.978,4.0,9.0
178,78,Ain't That Some,Morgan Wallen,20,2023,2YVlDlk2zRceefo6XlC6DX,158.0035,-5.834,121.089,4.0,6.0
179,79,Watermelon Moonshine,Lainey Wilson,20,2023,3sYBFUXTv0STUoUINx9Qe8,208.85333,-6.709,139.921,4.0,1.0
180,80,Wild As Her,Corey Kent,20,2023,3kXH9BQq0TyNliiP1MIE6N,201.06667,-5.927,148.009,4.0,0.0
181,81,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023,0IKeDy5bT9G0bA7ZixRT4A,271.8617,-4.629,157.643,4.0,7.0
182,82,Good Good,"Usher, Summer Walker & 21 Savage",19,2023,0J1YRLYhTG1MBosjidD7OI,247.10033,-4.819,140.991,4.0,7.0
183,83,Nonsense,Sabrina Carpenter,19,2023,6dgUya35uo964z7GZXM07g,163.64803,-4.912,138.992,4.0,8.0
184,84,Bury Me In Georgia,Kane Brown,19,2023,4EKH0ajMHXTkq4ztWuztVH,242.30667,-5.824,160.069,4.0,2.0
185,85,I Wrote The Book,Morgan Wallen,19,2023,7phmBo7bB9I9YifAXqnlqV,181.76666,-3.768,143.965,4.0,2.0
186,86,Qlona,Karol G & Peso Pluma,19,2023,5RqSsdzTNPX1uzkmlHCFvK,172.79778,-7.455,169.918,4.0,7.0
187,87,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023,6WzRpISELf3YglGAh7TXcG,215.46689,-6.23,99.022,4.0,1.0
188,88,Human,Cody Johnson,19,2023,5AihIu9yF3flkw1jFMyfwW,221.52,-7.279,84.08,4.0,2.0
189,89,Lose Control,Teddy Swims,19,2023,17phhZDn6oGtzMe56NuWvj,210.68884,-4.409,159.92,3.0,9.0
190,90,Meltdown,Travis Scott Featuring Drake,19,2023,67nepsnrcZkowTxMWigSbb,246.13397,-5.275,111.975,4.0,7.0
191,91,Bloody Mary,Lady Gaga,18,2023,11BKm0j4eYoCPPpCONAVwA,244.76,-6.365,99.998,4.0,9.0
192,92,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023,6fDlK6P4s3BVMls9EmfCWI,277.6595,-6.986,139.999,4.0,6.0
193,93,Area Codes,Kali,18,2023,7sliFe6W30tPBPh6dvZsIH,139.3258,-10.867,154.569,4.0,1.0
194,94,Heart Like A Truck,Lainey Wilson,17,2023,5DIBVDJOHh7djepAjKHWCO,199.04,-5.416,139.974,4.0,9.0
