,Unnamed: 0,title,artist,count,year
334,34,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,24,2021
335,35,On Me,Lil Baby,24,2021
336,36,The Good Ones,Gabby Barrett,23,2021
337,37,Stay,The Kid LAROI & Justin Bieber,23,2021
338,38,Almost Maybes,Jordan Davis,23,2021
339,39,Beat Box,SpotemGottem,23,2021
340,40,Back In Blood,Pooh Shiesty Featuring Lil Durk,23,2021
341,41,Lil Bit,Nelly & Florida Georgia Line,23,2021
342,42,Calling My Phone,Lil Tjay Featuring 6LACK,22,2021
343,43,Leave Before You Love Me,Marshmello X Jonas Brothers,22,2021
344,44,Sand In My Boots,Morgan Wallen,22,2021
345,45,Famous Friends,Chris Young + Kane Brown,22,2021
346,46,Tombstone,Rod Wave,22,2021
347,47,Hell Of A View,Eric Church,21,2021
348,48,Industry Baby,Lil Nas X & Jack Harlow,21,2021
349,49,You Broke Me First.,Tate McRae,21,2021
350,50,Therefore I Am,Billie Eilish,21,2021
351,51,You're Mines Still,Yung Bleu Featuring Drake,21,2021
352,52,Wants And Needs,Drake Featuring Lil Baby,21,2021
353,53,Dakiti,Bad Bunny & Jhay Cortez,21,2021
354,54,Positions,Ariana Grande,21,2021
355,55,34+35,Ariana Grande,21,2021
356,56,Things A Man Oughta Know,Lainey Wilson,20,2021
357,57,Gone,Dierks Bentley,20,2021
358,58,Late At Night,Roddy Ricch,20,2021
359,59,Up,Cardi B,20,2021
360,60,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,20,2021
361,61,Track Star,Mooski,20,2021
362,62,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,20,2021
363,63,Down To One,Luke Bryan,20,2021
364,64,Go Crazy,Chris Brown & Young Thug,20,2021
365,65,Todo de Ti,Rauw Alejandro,20,2021
366,66,Breaking Up Was Easy In The 90's,Sam Hunt,20,2021
367,67,Thot Shit,Megan Thee Stallion,20,2021
368,68,Just The Way,Parmalee x Blanco Brown,20,2021
369,69,What's Your Country Song,Thomas Rhett,20,2021
370,70,Good Days,SZA,20,2021
371,71,Butter,BTS,20,2021
372,72,Goosebumps,Travis Scott & HVME,20,2021
373,73,Time Today,Moneybagg Yo,20,2021
374,74,If I Didn't Love You,Jason Aldean & Carrie Underwood,20,2021
375,75,Wild Side,Normani Featuring Cardi B,20,2021
376,76,Country Again,Thomas Rhett,20,2021
377,77,Woman,Doja Cat,20,2021
378,78,Happier Than Ever,Billie Eilish,20,2021
379,79,Yonaguni,Bad Bunny,20,2021
380,80,Settling Down,Miranda Lambert,20,2021
381,81,Rapstar,Polo G,20,2021
382,82,Pepas,Farruko,20,2021
383,83,Quicksand,Morray,20,2021
384,84,Made For You,Jake Owen,20,2021
385,85,Single Saturday Night,Cole Swindell,20,2021
386,86,Pick Up Your Feelings,Jazmine Sullivan,20,2021
387,87,Streets,Doja Cat,20,2021
388,88,No More Parties,Coi Leray,20,2021
389,89,Buy Dirt,Jordan Davis Featuring Luke Bryan,19,2021
390,90,Willow,Taylor Swift,19,2021
391,91,A-O-K,Tai Verdes,19,2021
392,92,I Was On A Boat That Day,Old Dominion,19,2021
393,93,My Boy,Elvie Shane,19,2021
394,94,Gyalis,Capella Grey,19,2021
395,95,Cold As You,Luke Combs,19,2021
396,96,Wasted On You,Morgan Wallen,19,2021
397,97,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,19,2021
398,98,Lady,Brett Young,19,2021
399,99,Memory I Don't Mess With,Lee Brice,19,2021
400,0,Blinding Lights,The Weeknd,52,2020
401,1,I Hope,Gabby Barrett,51,2020
402,2,Adore You,Harry Styles,48,2020
403,3,Circles,Post Malone,47,2020
404,4,Don't Start Now,Dua Lipa,45,2020
405,5,Before You Go,Lewis Capaldi,44,2020
406,6,The Bones,Maren Morris,39,2020
407,7,Life Is Good,Future Featuring Drake,38,2020
408,8,Say So,Doja Cat,38,2020
409,9,Heartless,The Weeknd,37,2020
410,10,The Box,Roddy Ricch,36,2020
411,11,Chasin' You,Morgan Wallen,36,2020
412,12,Blueberry Faygo,Lil Mosey,33,2020
413,13,Falling,Trevor Daniel,33,2020
414,14,Rockstar,DaBaby Featuring Roddy Ricch,33,2020
415,15,Whats Poppin,Jack Harlow,33,2020
416,16,Watermelon Sugar,Harry Styles,33,2020
417,17,Go Crazy,Chris Brown & Young Thug,32,2020
418,18,Break My Heart,Dua Lipa,32,2020
419,19,Intentions,Justin Bieber Featuring Quavo,31,2020
420,20,If The World Was Ending,JP Saxe Featuring Julia Michaels,29,2020
421,21,Memories,Maroon 5,28,2020
422,22,High Fashion,Roddy Ricch Featuring Mustard,28,2020
423,23,Savage,Megan Thee Stallion,28,2020
424,24,Hot Girl Bummer,blackbear,28,2020
425,25,ily,surf mesa Featuring Emilee,28,2020
426,26,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,26,2020
427,27,More Than My Hometown,Morgan Wallen,26,2020
428,28,One Of Them Girls,Lee Brice,26,2020
429,29,Roses,SAINt JHN,25,2020
430,30,Dance Monkey,Tones And I,25,2020
431,31,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,25,2020
432,32,I Hope You're Happy Now,Carly Pearce & Lee Brice,25,2020
433,33,My Oh My,Camila Cabello Featuring DaBaby,25,2020
434,34,P*$$y Fairy (OTW),Jhene Aiko,25,2020
435,35,Die From A Broken Heart,Maddie & Tae,25,2020
436,36,Emotionally Scarred,Lil Baby,25,2020
437,37,Got What I Got,Jason Aldean,25,2020
438,38,Nobody But You,Blake Shelton Duet With Gwen Stefani,24,2020
439,39,Bang!,AJR,24,2020
440,40,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,24,2020
441,41,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,23,2020
442,42,Ballin',Mustard Featuring Roddy Ricch,22,2020
443,43,We Paid,Lil Baby & 42 Dugg,22,2020
444,44,Someone You Loved,Lewis Capaldi,22,2020
445,45,Said Sum,Moneybagg Yo,22,2020
446,46,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",22,2020
447,47,Supalonely,BENEE Featuring Gus Dapperton,22,2020
448,48,Sunday Best,Surfaces,21,2020
449,49,Be Like That,Kane Brown With Swae Lee & Khalid,21,2020
450,50,Heart On Ice,Rod Wave,21,2020
451,51,Dior,Pop Smoke,21,2020
452,52,Sum 2 Prove,Lil Baby,20,2020
453,53,Hard To Forget,Sam Hunt,20,2020
