rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
43,The River Of Dreams,Billy Joel,https://charts-static.billboard.com/img/1993/07/billy-joel-9l9-53x53.jpg,,40,3,24,down,1994-01-08
44,Found Out About You,Gin Blossoms,https://charts-static.billboard.com/img/1993/10/gin-blossoms-sxo-53x53.jpg,,39,39,8,down,1994-01-08
45,Slow And Easy,Zapp & Roger,Not supported yet,,47,44,11,up,1994-01-08
46,No Rain,Blind Melon,https://charts-static.billboard.com/img/1993/07/blind-melon-9q8-53x53.jpg,,49,20,21,up,1994-01-08
47,If,Janet Jackson,https://charts-static.billboard.com/img/1993/05/janet-jackson-9z4-53x53.jpg,,48,4,25,up,1994-01-08
48,Cantaloop (Flip Fantasia),US3,https://charts-static.billboard.com/img/1993/11/us3-ghj-53x53.jpg,,51,48,7,up,1994-01-08
49,Wild World,Mr. Big,https://charts-static.billboard.com/img/1993/10/mr-big-nos-53x53.jpg,,44,27,14,down,1994-01-08
50,Award Tour,A Tribe Called Quest,https://charts-static.billboard.com/img/1993/10/a-tribe-called-quest-o81-53x53.jpg,,53,50,10,up,1994-01-08
51,Higher Ground,UB40,https://charts-static.billboard.com/img/1993/08/ub40-8p0-53x53.jpg,,45,45,14,down,1994-01-08
52,"Two Steps Behind (From ""Last Action Hero"")",Def Leppard,https://charts-static.billboard.com/img/1993/07/def-leppard-3qx-53x53.jpg,,52,12,18,same,1994-01-08
53,Miss You In A Heartbeat,Def Leppard,https://charts-static.billboard.com/img/1993/12/def-leppard-3qx-53x53.jpg,,54,53,5,up,1994-01-08
54,Both Sides Of The Story,Phil Collins,https://charts-static.billboard.com/img/1993/10/phil-collins-zdh-53x53.jpg,,50,25,11,down,1994-01-08
55,God Blessed Texas,Little Texas,https://charts-static.billboard.com/img/1993/10/little-texas-bxw-53x53.jpg,,57,55,9,up,1994-01-08
56,I'll Be Loving You,Collage,Not supported yet,,58,56,7,up,1994-01-08
57,"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,https://charts-static.billboard.com/img/1993/08/red-hot-chili-peppers-c0t-53x53.jpg,,60,22,20,up,1994-01-08
58,Come Inside,Intro,https://charts-static.billboard.com/img/1993/08/intro-m29-53x53.jpg,,59,33,19,up,1994-01-08
59,Goody Goody,Lisette Melendez,https://charts-static.billboard.com/img/1993/11/lisette-melendez-q82-53x53.jpg,,55,55,5,down,1994-01-08
60,True Love,Elton John & Kiki Dee,https://charts-static.billboard.com/img/1993/11/kiki-dee-000-53x53.jpg,,56,56,7,down,1994-01-08
61,"Stay (Faraway, So Close!)",U2,https://charts-static.billboard.com/img/1993/07/u2-uun-53x53.jpg,,61,61,4,same,1994-01-08
62,Life (Everybody Needs Somebody To Love),Haddaway,https://charts-static.billboard.com/img/1993/12/haddaway-1id-53x53.jpg,,62,62,3,same,1994-01-08
63,I'm In The Mood,CeCe Peniston,Not supported yet,,81,63,2,up,1994-01-08
64,The Sign,Ace Of Base,https://charts-static.billboard.com/img/1840/12/ace-of-base-uz5-53x53.jpg,,68,64,2,up,1994-01-08
65,Always On My Mind,SWV,https://charts-static.billboard.com/img/1993/10/swv-ct8-53x53.jpg,,,,,new,1994-01-08
66,Yours,Shai,https://charts-static.billboard.com/img/1993/11/shai-n1f-53x53.jpg,,63,63,5,down,1994-01-08
67,Freakit,Das EFX,https://charts-static.billboard.com/img/1993/11/das-efx-fwm-53x53.jpg,,64,43,9,down,1994-01-08
68,Everybody Hurts,R.E.M.,https://charts-static.billboard.com/img/1993/08/rem-w4l-53x53.jpg,,67,29,18,down,1994-01-08
69,John Deere Green,Joe Diffie,https://charts-static.billboard.com/img/1993/12/joe-diffie-icf-53x53.jpg,,83,69,3,up,1994-01-08
70,Fast As You,Dwight Yoakam,https://charts-static.billboard.com/img/1993/11/dwight-yoakam-rbc-53x53.jpg,,70,70,5,same,1994-01-08
71,Cannonball,The Breeders,https://charts-static.billboard.com/img/1993/09/the-breeders-xx0-53x53.jpg,,69,69,6,down,1994-01-08
72,Let Me Ride,Dr. Dre,https:https://charts-static.billboard.com/img/1993/09/dr-dre-h9l-53x53.jpg,,72,34,16,same,1994-01-08
73,Will You Be There (In The Morning),Heart,https://charts-static.billboard.com/img/1993/12/heart-2lh-53x53.jpg,,73,73,3,same,1994-01-08
74,So Much In Love,All-4-One,https://charts-static.billboard.com/img/1993/12/all-4-one-4rn-53x53.jpg,,66,66,2,down,1994-01-08
75,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,https://charts-static.billboard.com/img/1993/11/tom-petty-and-the-heartbreakers-eog-53x53.jpg,,79,75,3,up,1994-01-08
76,Having A Party,Rod Stewart,https://charts-static.billboard.com/img/1994/01/rod-stewart-icm-53x53.jpg,,91,76,2,up,1994-01-08
77,Looking For Mr. Do Right,Jade,https://charts-static.billboard.com/img/1993/10/jade-x05-53x53.jpg,,75,69,10,down,1994-01-08
78,Hopelessly,Rick Astley,https://charts-static.billboard.com/img/1993/08/rick-astley-opu-53x53.jpg,,65,28,19,down,1994-01-08
79,Sentimental,Kenny G,https://charts-static.billboard.com/img/1993/11/kenny-g-r4k-53x53.jpg,,74,72,5,down,1994-01-08
80,Into Your Arms,The Lemonheads,https://charts-static.billboard.com/img/1993/10/the-lemonheads-5ha-53x53.jpg,,71,67,9,down,1994-01-08
81,I Never Knew Love,Doug Stone,https://charts-static.billboard.com/img/1993/12/doug-stone-8o2-53x53.jpg,,87,81,2,up,1994-01-08
82,The Song Remembers When,Trisha Yearwood,https://charts-static.billboard.com/img/1993/11/trisha-yearwood-56y-53x53.jpg,,82,82,7,same,1994-01-08
83,Give It Up,The Goodmen,Not supported yet,,77,71,7,down,1994-01-08
84,Addams Family (Whoomp!),Tag Team,https://charts-static.billboard.com/img/1993/12/tag-team-4ga-53x53.jpg,,84,84,2,same,1994-01-08
85,We Ain't Goin' Out Like That,Cypress Hill,Not supported yet,,,,,new,1994-01-08
86,"Indo Smoke (From ""Poetic Justice"")",Mista Grimm,Not supported yet,,86,56,16,same,1994-01-08
87,Method Man,Wu-Tang Clan,https://charts-static.billboard.com/img/1993/07/wu-tang-clan-egk-53x53.jpg,,78,69,14,down,1994-01-08
88,Really Doe,Ice Cube,https://charts-static.billboard.com/img/1993/12/ice-cube-bw5-53x53.jpg,,80,54,5,down,1994-01-08
89,Funk Dat/Why Is It?,Sagat,Not supported yet,,97,89,2,up,1994-01-08
90,You Don't Have To Worry,Mary J. Blige,https://charts-static.billboard.com/img/1993/06/mary-j-blige-hn0-53x53.jpg,,95,90,2,up,1994-01-08
91,What's It To You,Clay Walker,https://charts-static.billboard.com/img/1993/09/clay-walker-ea6-53x53.jpg,,92,73,14,up,1994-01-08
92,Betcha'll Never Find,Chantay Savage,https://charts-static.billboard.com/img/1993/10/chantay-savage-caj-53x53.jpg,,94,84,4,up,1994-01-08
93,I'm Looking For The One (To Be With Me),Jazzy Jeff & The Fresh Prince,Not supported yet,,93,79,6,same,1994-01-08
94,As Long As I Can Dream,Expose,Not supported yet,,76,55,13,down,1994-01-08
95,Dunkie Butt (Please Please Please),12 Gauge,https://charts-static.billboard.com/img/1993/11/12-gauge-wr4-53x53.jpg,,,,,new,1994-01-08
96,93 'til Infinity,Souls Of Mischief,https://charts-static.billboard.com/img/1993/09/souls-of-mischief-xfn-53x53.jpg,,85,72,9,down,1994-01-08
97,Rubberband Girl,Kate Bush,https://charts-static.billboard.com/img/1993/11/kate-bush-4vv-53x53.jpg,,99,88,3,up,1994-01-08
98,"I Love Music (From ""Carlito's Way"")",Rozalla,https://charts-static.billboard.com/img/1993/11/rozalla-fx5-53x53.jpg,,89,89,3,down,1994-01-08
99,Push The Feeling On,Nightcrawlers,Not supported yet,,96,80,15,down,1994-01-08
100,Here Come The Lords,Lords Of The Underground,https://charts-static.billboard.com/img/1993/11/lords-of-the-underground-rb7-53x53.jpg,,98,93,4,down,1994-01-08
1,Hero,Mariah Carey,https://charts-static.billboard.com/img/1993/09/mariah-carey-tgq-53x53.jpg,4,1,1,13,same,1994-01-15
